title,artist,id,uri,labels,distances
Good Enough,Marcus James,6tPYz05avJHydJ4gv8JAmn,spotify:track:6tPYz05avJHydJ4gv8JAmn,0,0.5011955504413579
So Far Gone,NURKO,5UNtPhsi8vPmJI3yeaiKTS,spotify:track:5UNtPhsi8vPmJI3yeaiKTS,0,0.502268666344697
Out My Head - 145 Remix,Fox Stevenson,4PcKrkeG9qhh09VmXD3OPl,spotify:track:4PcKrkeG9qhh09VmXD3OPl,0,0.509608240828405
Stuck On You (feat. Donna Tella),Blanke,4YEakHI6sat9bV875QBNcW,spotify:track:4YEakHI6sat9bV875QBNcW,0,0.5102096887189689
Like We - Reaper Remix,Krewella,0l5H1VqAkqE2dGtwIbsMoP,spotify:track:0l5H1VqAkqE2dGtwIbsMoP,0,0.5146031261156722
Dry Blood,Highlnd,6WqrGbkeXPT7Lqz8DNywoQ,spotify:track:6WqrGbkeXPT7Lqz8DNywoQ,0,0.5149600168517598
Worlds Apart,Seven Lions,7aOMhCNsHLflgdMkg6im7g,spotify:track:7aOMhCNsHLflgdMkg6im7g,0,0.5205127900589469
don't wanna believe,iann dior,6UoRwDlcwTzajgPvAxuyT4,spotify:track:6UoRwDlcwTzajgPvAxuyT4,0,0.5220449862552841
In Your Eyes,DG812,0H1jTcABJlI4DnAHTjl2mi,spotify:track:0H1jTcABJlI4DnAHTjl2mi,0,0.524417809012038
Catching On (feat. Nevve),Elephante,5be60DE1dTfKoeyxQj0tR0,spotify:track:5be60DE1dTfKoeyxQj0tR0,0,0.5260007373755041
Saving Light - Hixxy Remix,Gareth Emery,7vj8uPjVlDgNyVvLGp3jjf,spotify:track:7vj8uPjVlDgNyVvLGp3jjf,0,0.5333286123489687
Love For You,SABAI,7ao8imeoghP0rWSOrIJalv,spotify:track:7ao8imeoghP0rWSOrIJalv,0,0.5338014946038037
Leave This Place,LIONE,5sev6W7EhkB6mQVzy1OmqK,spotify:track:5sev6W7EhkB6mQVzy1OmqK,0,0.54255080723298
Someone Else,Sullivan King,44MxUoeZg6FXDlHMrSbVjX,spotify:track:44MxUoeZg6FXDlHMrSbVjX,0,0.5470390503106161
What U Feel - Radio Edit,Oryon,369VPxn5cdeO7LH08Dr31t,spotify:track:369VPxn5cdeO7LH08Dr31t,0,0.5537913928667357
Sad Machine - Deon Custom Remix,Porter Robinson,4Ub38TF0pi2m8re6Lcyz1t,spotify:track:4Ub38TF0pi2m8re6Lcyz1t,0,0.5581815841539123
Get High,Oliverse,7ikxeH5UEtVb5okhmgk60g,spotify:track:7ikxeH5UEtVb5okhmgk60g,0,0.5586298503698091
Talking to the Moon,Bruno Mars,161DnLWsx1i3u1JT05lzqU,spotify:track:161DnLWsx1i3u1JT05lzqU,0,0.5660901354242776
HELIX - Extended Mix,Sick Individuals,5B3YkHLp37Tasn8uCKnYhp,spotify:track:5B3YkHLp37Tasn8uCKnYhp,0,0.5720463470802447
Farewell - Sauniks Remix,Sauniks,3JWApMuTjjfnS3G7ZGEKaE,spotify:track:3JWApMuTjjfnS3G7ZGEKaE,0,0.5732360929541709
Sleepwalker,AWAY,3UEvEhSkb8AIQXfxOB4u0P,spotify:track:3UEvEhSkb8AIQXfxOB4u0P,0,0.595276933042564
Quit (feat. Ariana Grande),Cashmere Cat,4rwqrKdwlFWJ6LvPYaOtgn,spotify:track:4rwqrKdwlFWJ6LvPYaOtgn,0,0.6496684107749023
don't let me fall,Asaa,7Cq2CUMHkefrKchjsiDQ0w,spotify:track:7Cq2CUMHkefrKchjsiDQ0w,0,0.6499372393513767
Just A Memory,ALLTALE,4gA3WZIObpNyWbussFU2tS,spotify:track:4gA3WZIObpNyWbussFU2tS,0,0.6546661349239717
FOREVER,Kayzo,0WU4dgElEBK9cOf2cwNfaw,spotify:track:0WU4dgElEBK9cOf2cwNfaw,0,0.6705484711978061
Nothing Good Comes Easy,Felix Cartal,1m66iYSRv0qEQBo0RqyPaw,spotify:track:1m66iYSRv0qEQBo0RqyPaw,0,0.6757638775792094
Zombie - Gammer Flip,Ran-D,4DXGYUPycPAg8sjMY5QXpC,spotify:track:4DXGYUPycPAg8sjMY5QXpC,0,0.6912465850249092
Purge,Badklaat,1iOiwVWx7WggyyJA00Clj9,spotify:track:1iOiwVWx7WggyyJA00Clj9,0,0.7096668165493905
Don't Call,Lost Kings,5Leb8e1Nirv6IFHrmvJNv3,spotify:track:5Leb8e1Nirv6IFHrmvJNv3,0,0.7206188470042446
Put EM Up,W&W,0JGxsfTrLhkhGCJKdLvyuL,spotify:track:0JGxsfTrLhkhGCJKdLvyuL,0,0.742006336511686
8 Letters,Why Don't We,4zRZAmBQP8vhNPf9i9opXt,spotify:track:4zRZAmBQP8vhNPf9i9opXt,0,0.748440441657982
Anything U Want,Diskord,1Fd9CVGTUBx0OyMtteou6x,spotify:track:1Fd9CVGTUBx0OyMtteou6x,0,0.7489009669272352
With You,Kaskade,1xK7enJZVdv37fnnxoZlPq,spotify:track:1xK7enJZVdv37fnnxoZlPq,0,0.7636784554236292
BAD NEWS,Aries,60ZppukPfY43NDU9meKJrz,spotify:track:60ZppukPfY43NDU9meKJrz,0,0.7688051372269122
Me & My Friends,Munn,3ZuODl7QqOQWVAOrLZJOsU,spotify:track:3ZuODl7QqOQWVAOrLZJOsU,0,0.7765267586997867
ASCENSION,setti,7ezuEfbIVwgb8Z0RprGeoE,spotify:track:7ezuEfbIVwgb8Z0RprGeoE,0,0.7929953720049072
Taped Up Heart (feat. Clara Mae) - Joe Mason Remix,KREAM,5Ik4kjXrJswlj17Gqf4MPl,spotify:track:5Ik4kjXrJswlj17Gqf4MPl,0,0.7948279734270004
Your Love,Soar,2VDjmEOEP7UvzsYjZprNZg,spotify:track:2VDjmEOEP7UvzsYjZprNZg,0,0.8151121827915049
Face My Fears,Wind Walkers,2GFzQSigl78S1slVJ25rZD,spotify:track:2GFzQSigl78S1slVJ25rZD,0,0.8155163271332755
Down with the Sickness,Disturbed,40rvBMQizxkIqnjPdEWY1v,spotify:track:40rvBMQizxkIqnjPdEWY1v,0,0.8161775450300369
Run - Acoustic,Dylan Matthew,1ub9kv2OJiDMsX94lVnmeP,spotify:track:1ub9kv2OJiDMsX94lVnmeP,0,0.868477428590705
Ocean Eyes (Acoustic),SVRCINA,1mKAKzJuIZWz3M0nbVDfmD,spotify:track:1mKAKzJuIZWz3M0nbVDfmD,0,0.880927283968753
Epidemic (Introduction),Ed Money 2.0,3nRAg3yFDijl0B88b9P5q4,spotify:track:3nRAg3yFDijl0B88b9P5q4,0,1.0438423820085014
Over You (feat. Lena Leon),Wooli,1hAIqjvhVaARwUqUmTXSy2,spotify:track:1hAIqjvhVaARwUqUmTXSy2,1,0.17048762807506393
Truest Lies - Retrovision Remix,Far Out,0Bk3gDVe5fQV7quGbLcwzg,spotify:track:0Bk3gDVe5fQV7quGbLcwzg,1,0.20088808031392702
Another World - Radio Edit,Refuzion,5pRU1fv100K3msAXndAXXf,spotify:track:5pRU1fv100K3msAXndAXXf,1,0.20994885213307593
Searching For Nothing,Fells,6YSVt64BHDRcgXtPybnbj5,spotify:track:6YSVt64BHDRcgXtPybnbj5,1,0.21577474536208047
Apologize,Silverstein,04Lf6FH7DGoQdu3IjByT05,spotify:track:04Lf6FH7DGoQdu3IjByT05,1,0.2188338066381149
This is Cyber - Radio Edit,Cyber,223saNbzUiEfmzrtASjjy2,spotify:track:223saNbzUiEfmzrtASjjy2,1,0.21951822138357557
Plans,Elephante,3Zx07k3IUO99TVIBBYo3KZ,spotify:track:3Zx07k3IUO99TVIBBYo3KZ,1,0.22109218033320002
Eternity (feat. Dayce Williams),NURKO,2OYgoG7jqfMXsUaQfgROtw,spotify:track:2OYgoG7jqfMXsUaQfgROtw,1,0.22659467365664332
Over & Over,Nick Ledesma,6QKxsEjNFy1Za7tGwnDoDU,spotify:track:6QKxsEjNFy1Za7tGwnDoDU,1,0.23286121874545396
Silence - Illenium Remix,Marshmello,5ip3FCi89E2eDtId6kcJmo,spotify:track:5ip3FCi89E2eDtId6kcJmo,1,0.23312449627565093
Up in Flames (feat. Emma Sameth),Sinner's Heist,06QHzDKaQX6Wfvicki1uv5,spotify:track:06QHzDKaQX6Wfvicki1uv5,1,0.24130213429292616
YOU,Hamster,35MBwT9WK744IZVgtpbosb,spotify:track:35MBwT9WK744IZVgtpbosb,1,0.24332244812489917
Ready to Fly (feat. Adam Young),Didrick,0VKzFzhn37x6B7OBLaxlPj,spotify:track:0VKzFzhn37x6B7OBLaxlPj,1,0.2460236167285076
Tunnel Vision,Matt Baer,39ICGwIJ5aAXQluNHvRSsK,spotify:track:39ICGwIJ5aAXQluNHvRSsK,1,0.25240558876257146
When I Was Young (feat. Brooke Williams) [BVRNOUT Remix],Neo Noir,1hdgrQiPz2JEIVpPqPScYX,spotify:track:1hdgrQiPz2JEIVpPqPScYX,1,0.25246622551148307
After The Storm,3rd Prototype,3Sz7Np8ohchbjJ7sPbOnMu,spotify:track:3Sz7Np8ohchbjJ7sPbOnMu,1,0.26014980331404974
Washout - Remix,GOLDHOUSE,4MWmxdpqsD12f3LNp2pXps,spotify:track:4MWmxdpqsD12f3LNp2pXps,1,0.26231804198369063
Thoughts Of You,Bear Grillz,3kcF9tCDBjg1cEKovHpopQ,spotify:track:3kcF9tCDBjg1cEKovHpopQ,1,0.26344025375720653
Be Ok - Blanke Remix,Party Favor,6TylxA1MX5JMxRea5wDUam,spotify:track:6TylxA1MX5JMxRea5wDUam,1,0.2702695969886508
See Me Now - Da Tweekaz Remix Radio Edit,Mark With a K,2tFst7uRk83zd8Gmhx5Xst,spotify:track:2tFst7uRk83zd8Gmhx5Xst,1,0.270536116304862
Lost Control (feat. Bianca),Tyron Hapi,5SXG6gIw6FRFPWwBQksSJT,spotify:track:5SXG6gIw6FRFPWwBQksSJT,1,0.27249109963728674
Nobody Compares To You,Gryffin,47165S9Ppynsd9rIzVG4uS,spotify:track:47165S9Ppynsd9rIzVG4uS,1,0.2753835022024557
Tonight,NURKO,3BP1klbHxsOf6IxscNIX0r,spotify:track:3BP1klbHxsOf6IxscNIX0r,1,0.27565233599545214
Bad Things - With Camila Cabello,Machine Gun Kelly,56cswAa9WdFBsjsTyPBAKA,spotify:track:56cswAa9WdFBsjsTyPBAKA,1,0.27781842794273104
"Anywhere (feat. shYbeast, PLYA)",SLANDER,07ImPoPqKNwqucuPEZooBj,spotify:track:07ImPoPqKNwqucuPEZooBj,1,0.2791329501858805
Leave My Hand - Feenixpawl Remix,MaRLo,3kFS0QXzGjyUwo2WrabgTR,spotify:track:3kFS0QXzGjyUwo2WrabgTR,1,0.2817325957084846
They're Just Ghosts,Motion Blur,557lh76vcLy4EQWvZluA32,spotify:track:557lh76vcLy4EQWvZluA32,1,0.28365872756558397
Blood Moon,VAMPA,1FzYZB5bnr54r6kdpq1y6P,spotify:track:1FzYZB5bnr54r6kdpq1y6P,1,0.2879609716084429
Keep On Calling - Radio Edit,JNXD,6AhVOxZs8SzJXhR27iYrYd,spotify:track:6AhVOxZs8SzJXhR27iYrYd,1,0.2912377464866454
Great Escape,West Coast Massive,5fvniAXJaO2HTdl9jhZVfk,spotify:track:5fvniAXJaO2HTdl9jhZVfk,1,0.2988738453540173
Love Like Us (feat. RUNN),Last Heroes,4SaVW3E1VZIudaSNcRzLLT,spotify:track:4SaVW3E1VZIudaSNcRzLLT,1,0.30053604360391384
Creature,Black Tiger Sex Machine,77SxHKSrb8UvGwuP9ueh5u,spotify:track:77SxHKSrb8UvGwuP9ueh5u,1,0.302488103246907
Superhuman (Spag Heddy Remix) [feat. Eric Leva],SLANDER,6kTBx7hkmMEW1oI4XSbgV3,spotify:track:6kTBx7hkmMEW1oI4XSbgV3,1,0.3050472091595749
Falling Down,Wild Cards,0QyQawqfiFhgrQ2rD9U2fN,spotify:track:0QyQawqfiFhgrQ2rD9U2fN,1,0.30875505224070077
Trust,Voliik,0yAdbC63yXUY8bET63kQX9,spotify:track:0yAdbC63yXUY8bET63kQX9,1,0.3115817759809273
Higher Ground,ODESZA,7KT7VGnPU5QVXN3q1BOeqb,spotify:track:7KT7VGnPU5QVXN3q1BOeqb,1,0.31162826923029724
Navy Blue,Prblm Chld,1PP4touxbpQ0yNvST3b23A,spotify:track:1PP4touxbpQ0yNvST3b23A,1,0.3131545241168529
